selling_type,address,city,region,postal_code,price
['Bank Owned'],['Frederick Douglass Blvd'],['New York'],['NY'],['10039'],"['$7,800,000']"
['Bank Owned'],['Frederick Douglass Blvd'],['New York'],['NY'],['10039'],"['$7,800,000']"
['Bank Owned'],['Frederick Douglass Blvd'],['New York'],['NY'],['10039'],"['$7,800,000']"
['Bank Owned'],['W 136th St'],['New York'],['NY'],['10030'],"['$1,075,000']"
['Pre-foreclosure'],['W 136th St'],['New York'],['NY'],['10030'],"['$1,964,000']"
['Pre-foreclosure'],['Broadway'],['New York'],['NY'],['10033'],"['$72,000,000']"
['Pre-foreclosure'],['Perry St'],['New York'],['NY'],['10014'],"['$2,636,000']"
['Pre-foreclosure'],['W 71st St Apt 4A'],['New York'],['NY'],['10023'],"['$1,465,000']"
['Pre-foreclosure'],['Malcolm X Blvd'],['New York'],['NY'],['10027'],"['$2,043,000']"
['Pre-foreclosure'],['W 120th St'],['New York'],['NY'],['10027'],"['$2,154,000']"
['Pre-foreclosure'],['E 105th St Apt 1N'],['New York'],['NY'],['10029'],"['$745,000']"
['Pre-foreclosure'],['W 50th St Apt 4X'],['New York'],['NY'],['10019'],"['$539,000']"
['Bank Owned'],['W 23rd St Apt N12D'],['New York'],['NY'],['10011'],"['$1,070,021']"
['Bank Owned'],['Elizabeth St'],['New York'],['NY'],['10012'],"['$6,500,000']"
['Pre-foreclosure'],['W 57th St Apt 49D'],['New York'],['NY'],['10019'],"['$1,170,000']"
['Pre-foreclosure'],['W 89th St Apt 5D'],['New York'],['NY'],['10024'],"['$2,156,000']"
['Pre-foreclosure'],['W 89th St'],['New York'],['NY'],['10024'],"['$800,000']"
['Pre-foreclosure'],['E 64th St'],['New York'],['NY'],['10065'],"['$1,482,000']"
['Pre-foreclosure'],['5th Ave'],['New York'],['NY'],['10035'],"['$1,655,000']"
['Pre-foreclosure'],['E End Ave Apt 10B'],['New York'],['NY'],['10028'],"['$2,791,000']"
['Pre-foreclosure'],['Amsterdam Ave'],['New York'],['NY'],['10032'],"['$1,361,000']"
['Pre-foreclosure'],['Frederick Douglass Blvd Apt 3B'],['New York'],['NY'],['10030'],"['$839,000']"
['Pre-foreclosure'],['E 118th St'],['New York'],['NY'],['10035'],"['$1,996,000']"
['Pre-foreclosure'],['Central Park W Apt 11M'],['New York'],['NY'],['10023'],"['$2,527,000']"
['Pre-foreclosure'],['E 63rd St'],['New York'],['NY'],['10065'],"['$1,089,000']"
['Pre-foreclosure'],['7th Ave Apt 16B'],['New York'],['NY'],['10001'],"['$2,457,000']"
['Pre-foreclosure'],['E 38th St Apt 14N'],['New York'],['NY'],['10016'],"['$1,926,000']"
['Pre-foreclosure'],['Central Park S Apt 7L'],['New York'],['NY'],['10019'],"['$625,000']"
['Pre-foreclosure'],['W 142nd St'],['New York'],['NY'],['10030'],"['$550,000']"
['Pre-foreclosure'],['W 142nd St'],['New York'],['NY'],['10030'],"['$552,000']"
['Pre-foreclosure'],['Pine St Apt 11C'],['New York'],['NY'],['10005'],"['$560,000']"
['Pre-foreclosure'],['W 56th St Apt 9A'],['New York'],['NY'],['10019'],"['$976,000']"
['Pre-foreclosure'],['E 76th St Apt 6B'],['New York'],['NY'],['10021'],"['$1,197,000']"
['Pre-foreclosure'],['Park Ave Apt 1203'],['New York'],['NY'],['10016'],"['$2,070,000']"
['Pre-foreclosure'],['W 137th St'],['New York'],['NY'],['10030'],"['$735,000']"
['Pre-foreclosure'],['Madison Ave'],['New York'],['NY'],['10075'],"['$17,000']"
['Pre-foreclosure'],['W 42nd St Apt 35E'],['New York'],['NY'],['10036'],"['$1,482,000']"
['Pre-foreclosure'],['Barrow St Apt 413'],['New York'],['NY'],['10014'],"['$1,596,000']"
['Pre-foreclosure'],['W 119th St'],['New York'],['NY'],['10026'],"['$1,990,000']"
['Pre-foreclosure'],['W 20th St'],['New York'],['NY'],['10011'],"['$697,000']"
['Pre-foreclosure'],['E 82nd St Apt 4C'],['New York'],['NY'],['10028'],"['$775,000']"
['Pre-foreclosure'],['W 79th St Apt 6E'],['New York'],['NY'],['10024'],"['$1,342,000']"
['Pre-foreclosure'],['3rd Ave Apt 8F'],['New York'],['NY'],['10128'],"['$1,219,000']"
['Pre-foreclosure'],['Frederick Douglass Blvd Apt 5F'],['New York'],['NY'],['10030'],"['$612,000']"
['Pre-foreclosure'],['W 46th St Apt 105'],['New York'],['NY'],['10036'],"['$1,733,000']"
['Pre-foreclosure'],['Riverside Blvd Apt 20D'],['New York'],['NY'],['10069'],"['$1,403,000']"
['Pre-foreclosure'],['E 116th St'],['New York'],['NY'],['10029'],"['$667,000']"
['Pre-foreclosure'],['W 19th St Apt 6F'],['New York'],['NY'],['10011'],"['$2,198,000']"
['Pre-foreclosure'],['W 76th St Apt 1401'],['New York'],['NY'],['10023'],"['$2,605,000']"
['Pre-foreclosure'],['Broad St Apt 2120'],['New York'],['NY'],['10005'],"['$2,410,000']"
['Pre-foreclosure'],['W End Ave Apt 31C'],['New York'],['NY'],['10023'],"['$2,558,000']"
['Pre-foreclosure'],['Saint Nicholas Ave'],['New York'],['NY'],['10032'],"['$1,655,000']"
['Pre-foreclosure'],['W 42nd St Apt 25F'],['New York'],['NY'],['10036'],"['$1,498,000']"
['Pre-foreclosure'],['Central Park S Apt 5N'],['New York'],['NY'],['10019'],"['$2,137,000']"
['Pre-foreclosure'],['S End Ave Apt 12E'],['New York'],['NY'],['10280'],"['$812,000']"
['Pre-foreclosure'],['5th Ave Apt THB1'],['New York'],['NY'],['10026'],"['$1,167,000']"
['Pre-foreclosure'],['W 116th St Apt 3A'],['New York'],['NY'],['10026'],"['$1,832,000']"
['Pre-foreclosure'],['Central Park W Apt 1D'],['New York'],['NY'],['10025'],"['$473,000']"
['Pre-foreclosure'],['E 80th St Apt 7C'],['New York'],['NY'],['10075'],"['$2,125,000']"
['Pre-foreclosure'],['E 80th St Apt 7B'],['New York'],['NY'],['10075'],"['$1,525,000']"
['Pre-foreclosure'],['W 46th St'],['New York'],['NY'],['10036'],"['$572,000']"
['Pre-foreclosure'],['Riverside Blvd'],['New York'],['NY'],['10069'],"['$499,000']"
['Pre-foreclosure'],['W 123rd St'],['New York'],['NY'],['10027'],"['$1,323,000']"
['Pre-foreclosure'],['W 136th St'],['New York'],['NY'],['10030'],"['$439,000']"
['Pre-foreclosure'],['1st Ave'],['New York'],['NY'],['10009'],"['$1,542,000']"
['Pre-foreclosure'],['Avenue A'],['New York'],['NY'],['10009'],"['$1,318,000']"
['Pre-foreclosure'],['E 46th St'],['New York'],['NY'],['10017'],"['$741,000']"
['Pre-foreclosure'],['E 62nd St'],['New York'],['NY'],['10065'],"['$1,965,000']"
['Pre-foreclosure'],['W 137th St'],['New York'],['NY'],['10030'],"['$1,547,000']"
['Pre-foreclosure'],['Park Ave Apt 24A'],['New York'],['NY'],['10022'],"['$1,420,000']"
['Pre-foreclosure'],['Riverside Blvd Apt 6E'],['New York'],['NY'],['10069'],"['$804,000']"
['Pre-foreclosure'],['E 118th St'],['New York'],['NY'],['10035'],"['$1,608,000']"
['Pre-foreclosure'],['Centre St Ste 213'],['New York'],['NY'],['10013'],"['$850,000']"
['Pre-foreclosure'],['Park Ave Apt 11C'],['New York'],['NY'],['10075'],"['$1,669,000']"
['Pre-foreclosure'],['W 138th St'],['New York'],['NY'],['10030'],"['$1,717,000']"
['Pre-foreclosure'],['W 147th St'],['New York'],['NY'],['10031'],"['$1,579,000']"
['Pre-foreclosure'],['7th Ave Apt 9E'],['New York'],['NY'],['10001'],"['$726,000']"
['Pre-foreclosure'],['Broad St Apt 1914'],['New York'],['NY'],['10005'],"['$2,218,000']"
['Pre-foreclosure'],['W 162nd St'],['New York'],['NY'],['10032'],"['$2,024,000']"
['Pre-foreclosure'],['E 1st St Apt 4S'],['New York'],['NY'],['10003'],"['$1,389,000']"
['Pre-foreclosure'],['Fulton St Apt 14'],['New York'],['NY'],['10038'],"['$1,291,000']"
['Pre-foreclosure'],['Bowery'],['New York'],['NY'],['10013'],"['$3,850,000']"
['Pre-foreclosure'],['E 50th St'],['New York'],['NY'],['10022'],"['$884,000']"
['Pre-foreclosure'],['E 12th St Apt 5A'],['New York'],['NY'],['10003'],"['$1,421,000']"
['Pre-foreclosure'],['Convent Ave'],['New York'],['NY'],['10031'],"['$1,830,000']"
['Pre-foreclosure'],['Avenue B Apt 3C'],['New York'],['NY'],['10009'],"['$1,242,000']"
['Pre-foreclosure'],['Wall Street Ct Apt 1003'],['New York'],['NY'],['10005'],"['$455,000']"
['Pre-foreclosure'],['Little West St Apt 23B'],['New York'],['NY'],['10004'],"['$2,058,000']"
['Pre-foreclosure'],['W 126th St'],['New York'],['NY'],['10027'],"['$1,852,000']"
['Pre-foreclosure'],['W End Ave Apt 31B'],['New York'],['NY'],['10023'],"['$2,039,000']"
['Pre-foreclosure'],['E 75th St Apt 12F'],['New York'],['NY'],['10021'],"['$813,000']"
['Pre-foreclosure'],['Charles St'],['New York'],['NY'],['10014'],"['$1,678,000']"
['Pre-foreclosure'],['Riverside Blvd Apt 8L'],['New York'],['NY'],['10069'],"['$2,139,000']"
['Pre-foreclosure'],['Thompson St Apt 5V'],['New York'],['NY'],['10012'],"['$1,021,000']"
['Pre-foreclosure'],['3rd Ave Apt 3C'],['New York'],['NY'],['10128'],"['$882,000']"
['Pre-foreclosure'],['E 34th St Apt 7K'],['New York'],['NY'],['10016'],"['$625,000']"
['Pre-foreclosure'],['W 137th St'],['New York'],['NY'],['10030'],"['$1,735,000']"
['Pre-foreclosure'],['Central Park W Apt 11Y'],['New York'],['NY'],['10025'],"['$791,000']"
['Pre-foreclosure'],['Central Park W Apt 11X'],['New York'],['NY'],['10025'],"['$940,000']"
['Pre-foreclosure'],['E 87th St Apt 9B'],['New York'],['NY'],['10128'],"['$902,000']"
['Pre-foreclosure'],['5th Ave'],['New York'],['NY'],['10022'],"['$1,649,000']"
['Pre-foreclosure'],['E 65th St'],['New York'],['NY'],['10065'],"['$917,000']"
['Pre-foreclosure'],['West St Apt 42C'],['New York'],['NY'],['10004'],"['$2,219,000']"
['Pre-foreclosure'],['Hudson St'],['New York'],['NY'],['10014'],"['$2,282,000']"
['Pre-foreclosure'],['E 108th St Apt 2G'],['New York'],['NY'],['10029'],"['$867,000']"
['Pre-foreclosure'],['Great Jones St'],['New York'],['NY'],['10012'],"['$1,501,000']"
['Pre-foreclosure'],['W 3rd St'],['New York'],['NY'],['10012'],"['$1,383,000']"
['Pre-foreclosure'],['W 122nd St'],['New York'],['NY'],['10027'],"['$2,105,000']"
['Pre-foreclosure'],['5th Ave'],['New York'],['NY'],['10019'],['N/A']
['Pre-foreclosure'],['5th Ave Apt 25C'],['New York'],['NY'],['10016'],"['$760,000']"
['Pre-foreclosure'],['W 127th St'],['New York'],['NY'],['10027'],"['$1,954,000']"
['Pre-foreclosure'],['E 37th St Apt 10A'],['New York'],['NY'],['10016'],"['$981,000']"
['Pre-foreclosure'],['Malcolm X Blvd'],['New York'],['NY'],['10027'],"['$1,820,000']"
['Pre-foreclosure'],['W 122nd St'],['New York'],['NY'],['10027'],"['$1,440,000']"
['Pre-foreclosure'],['Beekman St'],['New York'],['NY'],['10038'],"['$1,965,000']"
['Pre-foreclosure'],['E 37th St Apt 19B'],['New York'],['NY'],['10016'],"['$761,000']"
['Pre-foreclosure'],['E 64th St'],['New York'],['NY'],['10065'],"['$722,000']"
['Pre-foreclosure'],['W 142nd St'],['New York'],['NY'],['10031'],"['$1,326,000']"
['Pre-foreclosure'],['W 42nd St Apt 2E'],['New York'],['NY'],['10036'],"['$842,000']"
['Pre-foreclosure'],['E 70th St Apt 8B'],['New York'],['NY'],['10021'],"['$763,000']"
['Pre-foreclosure'],['Pine St Apt 12S'],['New York'],['NY'],['10005'],"['$1,109,000']"
['Pre-foreclosure'],['11th Ave Apt 6B'],['New York'],['NY'],['10011'],"['$1,955,000']"
['Pre-foreclosure'],['W 148th St'],['New York'],['NY'],['10031'],"['$1,610,000']"
['Pre-foreclosure'],['5th Ave'],['New York'],['NY'],['10035'],"['$1,369,000']"
['Pre-foreclosure'],['Bowery Apt 2'],['New York'],['NY'],['10012'],"['$1,947,000']"
['Pre-foreclosure'],['3rd Ave'],['New York'],['NY'],['10029'],['N/A']
['Pre-foreclosure'],['W 122nd St Apt 3A'],['New York'],['NY'],['10027'],"['$515,000']"
['Pre-foreclosure'],['E 54th St Apt 5H'],['New York'],['NY'],['10022'],"['$790,000']"
['Pre-foreclosure'],['E 46th St Apt 2F'],['New York'],['NY'],['10017'],"['$474,000']"
['Pre-foreclosure'],['W 25th St'],['New York'],['NY'],['10001'],"['$1,576,000']"
['Pre-foreclosure'],['E 91st St'],['New York'],['NY'],['10128'],"['$1,965,000']"
['Pre-foreclosure'],['Saint Nicholas Ave'],['New York'],['NY'],['10032'],['N/A']
['Pre-foreclosure'],['W 159th St'],['New York'],['NY'],['10032'],"['$1,797,000']"
['Pre-foreclosure'],['Broad St Apt 802'],['New York'],['NY'],['10005'],"['$1,624,000']"
['Pre-foreclosure'],['W 119th St Apt 3'],['New York'],['NY'],['10026'],"['$1,404,000']"
['Pre-foreclosure'],['Thompson St'],['New York'],['NY'],['10012'],"['$1,797,000']"
['Pre-foreclosure'],['E 120th St Apt 1F'],['New York'],['NY'],['10035'],"['$685,000']"
['Pre-foreclosure'],['W 42nd St Apt 58E'],['New York'],['NY'],['10036'],"['$1,004,000']"
['Pre-foreclosure'],['Adam Clayton Powell Jr Blvd'],['New York'],['NY'],['10027'],"['$1,182,000']"
['Pre-foreclosure'],['W 112th St'],['New York'],['NY'],['10025'],"['$528,000']"
['Pre-foreclosure'],['Park Ave Apt 14K'],['New York'],['NY'],['10022'],"['$1,207,000']"
['Pre-foreclosure'],['E 76th St Apt 7B'],['New York'],['NY'],['10021'],"['$1,463,000']"
['Pre-foreclosure'],['W 19th St Apt 6E'],['New York'],['NY'],['10011'],"['$863,000']"
['Pre-foreclosure'],['E 40th St Apt 11F'],['New York'],['NY'],['10016'],"['$733,000']"
['Pre-foreclosure'],['E 131st St'],['New York'],['NY'],['10037'],"['$1,918,000']"
['Pre-foreclosure'],['E 53rd St Apt 6G'],['New York'],['NY'],['10022'],"['$929,000']"
